   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 772,          1154,             384,              0,      3791,           0,       8017
 773,          1156,             385,              0,      3795,           0,       8620
 774,          1159,             387,              0,      3819,           0,          0
 775,          1160,             387,           8228,      3820,           0,          0
 776,          1161,             387,              0,      3821,           0,       8439
 777,          1162,             387,              0,      3825,           0,          0
 778,          1163,             387,              0,      3842,           0,       8590
 779,          1164,             387,              0,      3839,           0,          0
 780,          1165,             387,              0,      3842,           0,       8029
 781,          1166,             387,              0,      3848,           0,       8535
 782,          1167,             387,              0,      3851,           0,          0
 783,          1168,             387,              0,      3863,           0,      11878
 784,          1169,             387,              0,      3864,           0,          0
 785,          1170,             387,           8419,      3867,           0,      14327
 786,          1171,             387,           6307,      3869,           0,        824
 787,          1172,             387,              0,      3873,           0,       8157
 788,          1173,             387,              0,      3877,           0,          0
 789,          1175,             388,            847,      3869,           0,          0
 790,          1176,             388,              0,      3890,           0,      10324
 791,          1178,             389,            996,      3898,           0,          0
 792,          1179,             389,              0,      3890,           0,       8023
 793,          1180,             389,              0,      3897,           0,      16241
 794,          1181,             389,              0,      3927,           0,       1149
 795,          1182,             389,              0,      3922,           0,       9195
 796,          1183,             389,              0,      3913,           0,       8286
 797,          1184,             389,              0,      3934,           0,       8008
 798,          1185,             389,           6641,      3937,           0,       3981
 799,          1186,             389,              0,      3932,           0,          0
 800,          1188,             390,              0,      3945,           0,      12663
 801,          1189,             390,              0,      3948,           0,          0
 802,          1190,             390,              0,      3957,           0,       1075
 803,          1191,             390,              0,      3952,           0,       7434
 804,          1192,             390,              0,      3952,           0,      16686
 805,          1193,             390,              0,      3961,           0,          0
 806,          1194,             390,              0,      3965,           0,       9728
 807,          1195,             390,              0,      3972,           0,       6922
 808,          1196,             390,              0,      3985,           0,          0
 809,          1197,             390,              0,      3984,           0,       9457
 810,          1198,             390,              0,      3988,           0,       8170
 811,          1200,             391,              0,      3995,           0,       6442
 812,          1202,             392,              0,      4002,           0,      16628
 813,          1203,             392,              0,      4011,           0,          0
 814,          1204,             392,              0,      4022,           0,       8750
 815,          1206,             393,              0,      4017,           0,       8002
 816,          1208,             394,              0,      4027,           0,        883
 817,          1210,             395,           8156,      4029,           0,          0
 818,          1215,             399,              0,      4041,           0,      17668
 819,          1216,             399,              0,      4034,           0,       7648
 820,          1217,             399,              0,      4034,           0,          0
 821,          1218,             399,           8003,      4049,           0,          0
 822,          1219,             399,              0,      4065,           0,      19735
 823,          1220,             399,           4443,      4059,           0,       3989
 824,          1221,             399,              0,      4065,           0,       8195
 825,          1222,             399,           4793,      4070,           0,          0
 826,          1223,             399,              0,      4076,           0,       9220
 827,          1225,             400,              0,      4083,           0,       6945
 828,          1228,             402,              0,      4097,           0,       8332
 829,          1230,             403,              0,      4099,           0,       9076
 830,          1231,             403,              0,      4114,           0,          0
 831,          1232,             403,           8144,      4121,           0,          0
 832,          1233,             403,           6605,      4114,           0,          0
 833,          1234,             403,              0,      4119,           0,       8004
 834,          1235,             403,              0,      4120,           0,       8628
 835,          1236,             403,              0,      4123,           0,          0
 836,          1240,             406,              0,      4138,           0,       8481
 837,          1241,             406,              0,      4142,           0,       8182
 838,          1242,             406,              0,      4135,           0,          0
 839,          1243,             406,           1002,      4135,           0,          0
 840,          1244,             406,              0,      4155,           0,       8198
 841,          1245,             406,              0,      4159,           0,       9423
 842,          1246,             406,              0,      4162,           0,       8193
 843,          1247,             406,              0,      4176,           0,          0
 844,          1248,             406,           1004,      4185,           0,        997
 845,          1249,             406,              0,      4186,           0,       8164
 846,          1250,             406,              0,      4200,           0,       5753
 847,          1251,             406,              0,      4213,           0,       8173
 848,          1252,             406,           1000,      4194,           0,       5460
 849,          1253,             406,              0,      4196,           0,       3979
 850,          1255,             407,              0,      4206,           0,       9196
 851,          1256,             407,              0,      4213,           0,          0
 852,          1257,             407,           2066,      4219,           0,          0
 853,          1259,             408,              0,      4231,           0,       8454
 854,          1260,             408,           8254,      4231,           0,       8055
 855,          1261,             408,           5476,      4238,           0,       9021
 856,          1262,             408,              0,      4246,           0,       6133
 857,          1264,             409,              0,      4253,           0,          0
 858,          1266,             410,           9101,      4260,           0,          0
 859,          1268,             411,           6329,      4267,           0,          0
 860,          1270,             412,              0,      4265,           0,       8159
 861,          1271,             412,              0,      4261,           0,       8271
 862,          1272,             412,              0,      4279,           0,       8169
 863,          1273,             412,              0,      4291,           0,       7608
 864,          1274,             412,              0,      4304,           0,          0
 865,          1276,             413,           8003,      4310,           0,          0
 866,          1278,             414,              0,      4316,           0,      16662
 867,          1282,             417,              0,      4319,           0,       9712
 868,          1283,             417,              0,      4323,           0,          0
 869,          1284,             417,           8207,      4319,           0,          0
 870,          1285,             417,           3632,      4339,           0,      13833
 871,          1286,             417,              0,      4328,           0,          0
 872,          1288,             418,              0,      4355,           0,       8396
 873,          1289,             418,              0,      4356,           0,       8593
 874,          1290,             418,              0,      4353,           0,       6095
 875,          1291,             418,           1168,      4366,           0,          0
 876,          1292,             418,              0,      4382,           0,       9231
 877,          1294,             419,              0,      4386,           0,       7344
 878,          1296,             420,              0,      4377,           0,       8200
 879,          1297,             420,           8038,      4379,           0,        998
 880,          1298,             420,              0,      4402,           0,       8184
 881,          1300,             421,              0,      4405,           0,       6952
