    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  673,              ,                ,               ,      5512,         672,       5004
  674,              ,                ,               ,      5518,         673,       5003
  675,              ,                ,               ,      5525,         674,       5005
  676,              ,                ,               ,      5533,         675,       5004
  677,              ,                ,               ,      5532,         676,       5004
  678,              ,                ,               ,      5548,         677,       5004
  679,              ,                ,               ,      5554,         678,       5004
  680,              ,                ,               ,      5566,         679,       5004
  681,              ,                ,               ,      5573,         680,       6005
  682,              ,                ,               ,      5575,         681,       5004
  683,              ,                ,               ,      5587,         682,       5004
  684,              ,                ,               ,      5614,         683,       5004
  685,              ,                ,               ,      5624,         684,       5004
  686,              ,                ,               ,      5614,         685,       5004
  687,              ,                ,               ,      5631,         686,       6005
  688,              ,                ,               ,      5620,         687,       5004
  689,              ,                ,               ,      5627,         688,       5004
  690,              ,                ,               ,      5632,         689,       5004
  691,              ,                ,               ,      5651,         690,       6005
  692,              ,                ,               ,      5665,         691,       5004
  693,              ,                ,               ,      5661,         692,       6006
  694,              ,                ,               ,      5685,         693,       5004
  695,              ,                ,               ,      5698,         694,       6005
  696,              ,                ,               ,      5697,         695,       6005
  697,              ,                ,               ,      5708,         696,       7006
  698,              ,                ,               ,      5708,         697,       6005
  699,              ,                ,               ,      5719,         698,       6005
  700,              ,                ,               ,      5743,         699,       5004
  701,              ,                ,               ,      5740,         700,       5004
  702,              ,                ,               ,      5777,         701,       6005
  703,              ,                ,               ,      5779,         702,       5004
  704,              ,                ,               ,      5754,         703,       6005
  705,              ,                ,               ,      5762,         704,       5004
  706,              ,                ,               ,      5794,         705,       6005
  707,              ,                ,               ,      5808,         706,       5004
  708,              ,                ,               ,      5816,         707,       5004
  709,              ,                ,               ,      5828,         708,       6005
  710,              ,                ,               ,      5842,         709,       5004
  711,              ,                ,               ,      5863,         710,       5004
  712,              ,                ,               ,      5873,         711,       5004
  713,              ,                ,               ,      5878,         712,       6005
  714,              ,                ,               ,      5875,         713,       5005
  715,              ,                ,               ,      5898,         714,       6005
  716,              ,                ,               ,      5905,         715,       6005
  717,              ,                ,               ,      5902,         716,       5004
  718,              ,                ,               ,      5939,         717,       5004
  719,              ,                ,               ,      5938,         718,       5004
  720,              ,                ,               ,      5949,         719,       6005
  721,              ,                ,               ,      5962,         720,       5004
  722,              ,                ,               ,      5961,         721,       5003
  723,              ,                ,               ,      5978,         722,       6005
  724,              ,                ,               ,      5988,         723,       6005
  725,              ,                ,               ,      5987,         724,       6005
  726,              ,                ,               ,      5992,         725,       5005
  727,              ,                ,               ,      6019,         726,       5004
  728,              ,                ,               ,      6029,         727,       6005
  729,              ,                ,               ,      6041,         728,       6005
  730,              ,                ,               ,      6047,         729,       6005
  731,              ,                ,               ,      6057,         730,       6005
  732,              ,                ,               ,      6052,         731,       5004
  733,              ,                ,               ,      6063,         732,       5004
  734,              ,                ,               ,      6080,         733,       6005
  735,              ,                ,               ,      6100,         734,       6005
  736,              ,                ,               ,      6098,         735,       6005
  737,              ,                ,               ,      6108,         736,       6005
  738,              ,                ,               ,      6111,         737,       5004
  739,              ,                ,               ,      6127,         738,       5004
  740,              ,                ,               ,      6130,         739,       5004
  741,              ,                ,               ,      6136,         740,       6005
  742,              ,                ,               ,      6162,         741,       6005
  743,              ,                ,               ,      6180,         742,       6006
  744,              ,                ,               ,      6163,         743,       6005
  745,              ,                ,               ,      6177,         744,       6004
  746,              ,                ,               ,      6182,         745,       6006
  747,              ,                ,               ,      6186,         746,       6005
  748,              ,                ,               ,      6206,         747,       6005
  749,              ,                ,               ,      6212,         748,       6005
  750,              ,                ,               ,      6227,         749,       6005
  751,              ,                ,               ,      6237,         750,       5004
  752,              ,                ,               ,      6232,         751,       5004
  753,              ,                ,               ,      6239,         752,       5004
  754,              ,                ,               ,      6260,         753,       5003
  755,              ,                ,               ,      6273,         754,       5004
  756,              ,                ,               ,      6289,         755,       5004
  757,              ,                ,               ,      6304,         756,       5004
  758,              ,                ,               ,      6292,         757,       5004
